mun;ano;group;sexo;n;p
110002;2013;Importado;Feminino;122;2,61241970021413e-01
110002;2013;NA;Masculino;16;8,88888888888889e-01
110002;2013;NA;Feminino;2;1,11111111111111e-01
110002;2014;Autóctone;Masculino;45;5,62500000000000e-01
110002;2014;Autóctone;Feminino;35;4,37500000000000e-01
110002;2014;Importado;Masculino;142;6,31111111111111e-01
110002;2014;Importado;Feminino;83;3,68888888888889e-01
110002;2014;NA;Masculino;2;1,00000000000000e+00
110002;2015;Autóctone;Masculino;34;8,09523809523810e-01
110002;2015;Autóctone;Feminino;8;1,90476190476190e-01
110002;2015;Importado;Masculino;91;6,59420289855073e-01
110002;2015;Importado;Feminino;47;3,40579710144928e-01
110002;2016;Autóctone;Masculino;80;6,83760683760684e-01
110002;2016;Autóctone;Feminino;37;3,16239316239316e-01
110002;2016;Importado;Masculino;266;7,36842105263158e-01
110002;2016;Importado;Feminino;95;2,63157894736842e-01
110002;2017;Autóctone;Masculino;86;7,35042735042735e-01
110002;2017;Autóctone;Feminino;31;2,64957264957265e-01
110002;2017;Importado;Masculino;385;7,62376237623762e-01
110002;2017;Importado;Feminino;120;2,37623762376238e-01
110002;2018;Autóctone;Masculino;805;9,06531531531532e-01
110002;2018;Autóctone;Feminino;83;9,34684684684685e-02
110002;2018;Importado;Masculino;475;7,68608414239482e-01
110002;2018;Importado;Feminino;143;2,31391585760518e-01
110002;2018;NA;Masculino;1;1,00000000000000e+00
110002;2019;Autóctone;Masculino;339;8,62595419847328e-01
110002;2019;Autóctone;Feminino;54;1,37404580152672e-01
110002;2019;Importado;Masculino;361;8,02222222222222e-01
110002;2019;Importado;Feminino;89;1,97777777777778e-01
110002;2020;Autóctone;Masculino;123;8,60139860139860e-01
110002;2020;Autóctone;Feminino;20;1,39860139860140e-01
110002;2020;Importado;Masculino;80;8,24742268041237e-01
110002;2020;Importado;Feminino;17;1,75257731958763e-01
110003;2007;Autóctone;Masculino;2;4,00000000000000e-01
110003;2007;Autóctone;Feminino;3;6,00000000000000e-01
110003;2007;Importado;Masculino;10;6,25000000000000e-01
110003;2007;Importado;Feminino;6;3,75000000000000e-01
110003;2008;Importado;Masculino;4;6,66666666666667e-01
110003;2008;Importado;Feminino;2;3,33333333333333e-01
110003;2008;NA;Masculino;1;1,00000000000000e+00
110003;2009;Importado;Masculino;7;7,77777777777778e-01
110003;2009;Importado;Feminino;2;2,22222222222222e-01
110003;2010;Autóctone;Masculino;2;1,00000000000000e+00
110003;2010;Importado;Masculino;2;1,00000000000000e+00
110003;2011;Importado;Masculino;3;1,00000000000000e+00
110003;2012;Importado;Masculino;2;1,00000000000000e+00
110003;2013;Importado;Masculino;3;1,00000000000000e+00
110003;2014;Importado;Masculino;2;1,00000000000000e+00
110003;2016;Autóctone;Masculino;4;1,00000000000000e+00
110003;2016;Importado;Masculino;1;1,00000000000000e+00
110003;2017;Autóctone;Masculino;1;1,00000000000000e+00
110003;2018;Importado;Masculino;6;1,00000000000000e+00
110003;2019;Importado;Masculino;3;3,75000000000000e-01
110003;2019;Importado;Feminino;5;6,25000000000000e-01
110003;2020;Importado;Feminino;1;1,00000000000000e+00
110004;2007;Autóctone;Masculino;20;7,14285714285714e-01
110004;2007;Autóctone;Feminino;7;2,50000000000000e-01
110004;2007;Autóctone;Ignorado;1;3,57142857142857e-02
110004;2007;Importado;Masculino;331;7,50566893424036e-01
110004;2007;Importado;Feminino;110;2,49433106575964e-01
110004;2007;NA;Feminino;1;1,00000000000000e+00
110004;2008;Autóctone;Masculino;6;6,00000000000000e-01
110004;2008;Autóctone;Feminino;4;4,00000000000000e-01
110004;2008;Importado;Masculino;681;7,81859931113662e-01
110004;2008;Importado;Feminino;188;2,15843857634902e-01
110004;2008;Importado;Ignorado;2;2,29621125143513e-03
110004;2009;Autóctone;Masculino;2;3,33333333333333e-01
110004;2009;Autóctone;Feminino;4;6,66666666666667e-01
110004;2009;Importado;Masculino;687;7,43506493506494e-01
110004;2009;Importado;Feminino;237;2,56493506493506e-01
110004;2010;Autóctone;Masculino;1;3,33333333333333e-01
110004;2010;Autóctone;Feminino;2;6,66666666666667e-01
110004;2010;Importado;Masculino;569;7,58666666666667e-01
110004;2010;Importado;Feminino;181;2,41333333333333e-01
110004;2010;NA;Masculino;3;1,00000000000000e+00
110004;2011;Autóctone;Masculino;2;5,00000000000000e-01
110004;2011;Autóctone;Feminino;2;5,00000000000000e-01
110004;2011;Importado;Masculino;104;7,37588652482269e-01
110004;2011;Importado;Feminino;36;2,55319148936170e-01
110004;2011;Importado;Ignorado;1;7,09219858156028e-03
110004;2011;NA;Masculino;5;1,00000000000000e+00
110004;2012;Autóctone;Masculino;3;6,00000000000000e-01
110004;2012;Autóctone;Feminino;2;4,00000000000000e-01
110004;2012;Importado;Masculino;50;7,35294117647059e-01
110004;2012;Importado;Feminino;18;2,64705882352941e-01
110004;2012;NA;Masculino;1;1,00000000000000e+00
110004;2013;Importado;Masculino;53;8,68852459016393e-01
110004;2013;Importado;Feminino;8;1,31147540983607e-01
110004;2013;NA;Masculino;2;1,00000000000000e+00
110004;2014;Autóctone;Masculino;3;1,00000000000000e+00
110004;2014;Importado;Masculino;55;9,01639344262295e-01
110004;2014;Importado;Feminino;6;9,83606557377049e-02
110004;2015;Importado;Masculino;70;9,33333333333333e-01
110004;2015;Importado;Feminino;5;6,66666666666667e-02
110004;2016;Importado;Masculino;28;7,17948717948718e-01
110004;2016;Importado;Feminino;11;2,82051282051282e-01
110004;2017;Importado;Masculino;18;7,20000000000000e-01
110004;2017;Importado;Feminino;7;2,80000000000000e-01
110004;2017;NA;Masculino;1;1,00000000000000e+00
110004;2018;Importado;Masculino;19;6,78571428571429e-01
110004;2018;Importado;Feminino;9;3,21428571428571e-01
110004;2019;Importado;Masculino;114;8,38235294117647e-01
110004;2019;Importado;Feminino;22;1,61764705882353e-01
110004;2020;Autóctone;Masculino;2;1,00000000000000e+00
110004;2020;Importado;Masculino;65;7,64705882352941e-01
110004;2020;Importado;Feminino;20;2,35294117647059e-01
110005;2007;Autóctone;Masculino;2;6,66666666666667e-01
110005;2007;Autóctone;Feminino;1;3,33333333333333e-01
110005;2007;Importado;Masculino;90;8,03571428571429e-01
110005;2007;Importado;Feminino;21;1,87500000000000e-01
110005;2007;Importado;Ignorado;1;8,92857142857143e-03
110005;2007;NA;Masculino;2;1,00000000000000e+00
110005;2008;Autóctone;Masculino;1;1,00000000000000e+00
110005;2008;Importado;Masculino;38;6,66666666666667e-01
110005;2008;Importado;Feminino;19;3,33333333333333e-01
110005;2008;NA;Masculino;5;1,00000000000000e+00
110005;2009;Importado;Masculino;30;7,89473684210526e-01
110005;2009;Importado;Feminino;8;2,10526315789474e-01
110005;2009;NA;Masculino;4;6,66666666666667e-01
110005;2009;NA;Feminino;2;3,33333333333333e-01
110005;2010;Importado;Masculino;36;8,57142857142857e-01
110005;2010;Importado;Feminino;6;1,42857142857143e-01
110005;2010;NA;Feminino;1;1,00000000000000e+00
110005;2011;Importado;Masculino;11;8,46153846153846e-01
110005;2011;Importado;Feminino;2;1,53846153846154e-01
110005;2011;NA;Feminino;1;1,00000000000000e+00
110005;2012;Importado;Masculino;15;7,89473684210526e-01
110005;2012;Importado;Feminino;4;2,10526315789474e-01
110005;2012;NA;Masculino;1;1,00000000000000e+00
110005;2013;Autóctone;Feminino;1;1,00000000000000e+00
110005;2013;Importado;Masculino;8;5,33333333333333e-01
110005;2013;Importado;Feminino;7;4,66666666666667e-01
110005;2014;Importado;Masculino;6;6,66666666666667e-01
110005;2014;Importado;Feminino;3;3,33333333333333e-01
110005;2015;Importado;Masculino;4;6,66666666666667e-01
110005;2015;Importado;Feminino;2;3,33333333333333e-01
110005;2016;Importado;Masculino;3;1,00000000000000e+00
110005;2017;Importado;Masculino;1;5,00000000000000e-01
110005;2017;Importado;Feminino;1;5,00000000000000e-01
110005;2018;Importado;Masculino;2;4,00000000000000e-01
110005;2018;Importado;Feminino;3;6,00000000000000e-01
110005;2019;Importado;Masculino;9;4,73684210526316e-01
110005;2019;Importado;Feminino;10;5,26315789473684e-01
110005;2020;Importado;Masculino;2;6,66666666666667e-01
110005;2020;Importado;Feminino;1;3,33333333333333e-01
110006;2007;Autóctone;Masculino;1;1,00000000000000e+00
110006;2007;Importado;Masculino;33;7,67441860465116e-01
110006;2007;Importado;Feminino;10;2,32558139534884e-01
110006;2008;Importado;Masculino;17;6,53846153846154e-01
110006;2008;Importado;Feminino;9;3,46153846153846e-01
110006;2009;Importado;Masculino;12;7,50000000000000e-01
110006;2009;Importado;Feminino;4;2,50000000000000e-01
110006;2010;Importado;Masculino;21;8,40000000000000e-01
110006;2010;Importado;Feminino;4;1,60000000000000e-01
110006;2011;Importado;Masculino;8;6,15384615384615e-01
110006;2011;Importado;Feminino;5;3,84615384615385e-01
110006;2012;Importado;Masculino;1;1,00000000000000e+00
110006;2013;Importado;Masculino;1;1,00000000000000e+00
110006;2013;NA;Masculino;1;1,00000000000000e+00
110006;2014;Importado;Masculino;3;6,00000000000000e-01
110006;2014;Importado;Feminino;2;4,00000000000000e-01
110006;2015;Importado;Feminino;1;1,00000000000000e+00
110006;2017;Autóctone;Masculino;1;1,00000000000000e+00
110006;2017;Importado;Masculino;1;1,00000000000000e+00
110006;2017;NA;Feminino;1;1,00000000000000e+00
110006;2018;Autóctone;Masculino;1;1,00000000000000e+00
110006;2019;Importado;Masculino;5;1,00000000000000e+00
110006;2020;Importado;Masculino;2;1,00000000000000e+00
110007;2007;Autóctone;Feminino;1;1,00000000000000e+00
110007;2007;Importado;Masculino;5;8,33333333333333e-01
110007;2007;Importado;Feminino;1;1,66666666666667e-01
110007;2008;Importado;Masculino;7;8,75000000000000e-01
110007;2008;Importado;Feminino;1;1,25000000000000e-01
110007;2009;Importado;Masculino;4;1,00000000000000e+00
110007;2010;Importado;Masculino;4;5,00000000000000e-01
110007;2010;Importado;Feminino;4;5,00000000000000e-01
110007;2011;Importado;Masculino;1;5,00000000000000e-01
110007;2011;Importado;Feminino;1;5,00000000000000e-01
110007;2018;Autóctone;Masculino;1;5,00000000000000e-01
110007;2018;Autóctone;Feminino;1;5,00000000000000e-01
110007;2018;Importado;Masculino;1;5,00000000000000e-01
110007;2018;Importado;Feminino;1;5,00000000000000e-01
110007;2019;Importado;Masculino;2;6,66666666666667e-01
110007;2019;Importado;Feminino;1;3,33333333333333e-01
110007;2020;Importado;Masculino;1;5,00000000000000e-01
110007;2020;Importado;Feminino;1;5,00000000000000e-01
110008;2007;Autóctone;Masculino;303;6,13360323886640e-01
110008;2007;Autóctone;Feminino;190;3,84615384615385e-01
110008;2007;Autóctone;Ignorado;1;2,02429149797571e-03
110008;2007;Importado;Masculino;57;7,40259740259740e-01
110008;2007;Importado;Feminino;20;2,59740259740260e-01
110008;2007;NA;Masculino;14;6,36363636363636e-01
110008;2007;NA;Feminino;8;3,63636363636364e-01
110008;2008;Autóctone;Masculino;176;6,26334519572954e-01
110008;2008;Autóctone;Feminino;105;3,73665480427046e-01
110008;2008;Importado;Masculino;24;6,66666666666667e-01
110008;2008;Importado;Feminino;12;3,33333333333333e-01
110008;2008;NA;Masculino;12;5,71428571428571e-01
110008;2008;NA;Feminino;9;4,28571428571429e-01
110008;2009;Autóctone;Masculino;136;6,04444444444444e-01
110008;2009;Autóctone;Feminino;88;3,91111111111111e-01
110008;2009;Autóctone;Ignorado;1;4,44444444444444e-03
110008;2009;Importado;Masculino;20;6,25000000000000e-01
110008;2009;Importado;Feminino;12;3,75000000000000e-01
110008;2009;NA;Masculino;5;5,55555555555556e-01
110008;2009;NA;Feminino;4;4,44444444444444e-01
110008;2010;Autóctone;Masculino;227;5,63275434243176e-01
110008;2010;Autóctone;Feminino;175;4,34243176178660e-01
110008;2010;Autóctone;Ignorado;1;2,48138957816377e-03
110008;2010;Importado;Masculino;13;5,20000000000000e-01
110008;2010;Importado;Feminino;12;4,80000000000000e-01
110008;2010;NA;Masculino;6;6,00000000000000e-01
110008;2010;NA;Feminino;4;4,00000000000000e-01
110008;2011;Autóctone;Masculino;113;6,14130434782609e-01
110008;2011;Autóctone;Feminino;71;3,85869565217391e-01
110008;2011;Importado;Masculino;13;8,12500000000000e-01
110008;2011;Importado;Feminino;3;1,87500000000000e-01
110008;2011;NA;Masculino;6;6,66666666666667e-01
110008;2011;NA;Feminino;3;3,33333333333333e-01
110008;2012;Autóctone;Masculino;121;5,55045871559633e-01
110008;2012;Autóctone;Feminino;97;4,44954128440367e-01
110008;2012;Importado;Masculino;7;4,66666666666667e-01
110008;2012;Importado;Feminino;8;5,33333333333333e-01
110008;2012;NA;Masculino;3;4,28571428571429e-01
110008;2012;NA;Feminino;4;5,71428571428571e-01
110008;2013;Autóctone;Masculino;56;4,91228070175439e-01
110008;2013;Autóctone;Feminino;58;5,08771929824561e-01
110008;2013;Importado;Masculino;8;1,00000000000000e+00
110008;2013;NA;Masculino;7;7,77777777777778e-01
110008;2013;NA;Feminino;2;2,22222222222222e-01
110008;2014;Autóctone;Masculino;20;6,89655172413793e-01
110008;2014;Autóctone;Feminino;9;3,10344827586207e-01
110008;2014;Importado;Masculino;9;9,00000000000000e-01
110008;2014;Importado;Feminino;1;1,00000000000000e-01
110008;2014;NA;Masculino;4;1,00000000000000e+00
110008;2015;Autóctone;Masculino;36;6,66666666666667e-01
110008;2015;Autóctone;Feminino;18;3,33333333333333e-01
110008;2015;Importado;Masculino;9;8,18181818181818e-01
110008;2015;Importado;Feminino;2;1,81818181818182e-01
110008;2015;NA;Masculino;2;6,66666666666667e-01
110008;2015;NA;Feminino;1;3,33333333333333e-01
110008;2016;Autóctone;Masculino;48;5,39325842696629e-01
110008;2016;Autóctone;Feminino;41;4,60674157303371e-01
110008;2016;Importado;Masculino;6;8,57142857142857e-01
110008;2016;Importado;Feminino;1;1,42857142857143e-01
110008;2016;NA;Masculino;1;5,00000000000000e-01
110008;2016;NA;Feminino;1;5,00000000000000e-01
110008;2017;Autóctone;Masculino;7;6,36363636363636e-01
110008;2017;Autóctone;Feminino;4;3,63636363636364e-01
110008;2017;Importado;Masculino;5;8,33333333333333e-01
110008;2017;Importado;Feminino;1;1,66666666666667e-01
110008;2017;NA;Masculino;10;1,00000000000000e+00
110008;2018;Autóctone;Masculino;5;4,54545454545455e-01
110008;2018;Autóctone;Feminino;6;5,45454545454545e-01
110008;2018;Importado;Masculino;3;1,00000000000000e+00
110008;2018;NA;Masculino;2;6,66666666666667e-01
110008;2018;NA;Feminino;1;3,33333333333333e-01
110008;2019;Autóctone;Masculino;69;6,16071428571429e-01
110008;2019;Autóctone;Feminino;43;3,83928571428571e-01
110008;2019;Importado;Masculino;8;8,88888888888889e-01
110008;2019;Importado;Feminino;1;1,11111111111111e-01
110008;2019;NA;Masculino;3;5,00000000000000e-01
110008;2019;NA;Feminino;3;5,00000000000000e-01
110008;2020;Autóctone;Masculino;92;5,78616352201258e-01
110008;2020;Autóctone;Feminino;67;4,21383647798742e-01
110008;2020;Importado;Masculino;4;8,00000000000000e-01
110008;2020;Importado;Feminino;1;2,00000000000000e-01
110008;2020;NA;Masculino;2;6,66666666666667e-01
110008;2020;NA;Feminino;1;3,33333333333333e-01
110009;2007;Autóctone;Masculino;16;6,66666666666667e-01
110009;2007;Autóctone;Feminino;8;3,33333333333333e-01
110009;2007;Importado;Masculino;61;7,82051282051282e-01
110009;2007;Importado;Feminino;17;2,17948717948718e-01
110009;2007;NA;Masculino;1;1,00000000000000e+00
110009;2008;Autóctone;Masculino;164;7,84688995215311e-01
110009;2008;Autóctone;Feminino;45;2,15311004784689e-01
110009;2008;Importado;Masculino;53;7,26027397260274e-01
110009;2008;Importado;Feminino;20;2,73972602739726e-01
110009;2009;Autóctone;Masculino;231;8,30935251798561e-01
110009;2009;Autóctone;Feminino;47;1,69064748201439e-01
110009;2009;Importado;Masculino;65;7,47126436781609e-01
110009;2009;Importado;Feminino;22;2,52873563218391e-01
110009;2009;NA;Masculino;1;5,00000000000000e-01
110009;2009;NA;Feminino;1;5,00000000000000e-01
110009;2010;Autóctone;Masculino;311;8,40540540540541e-01
110009;2010;Autóctone;Feminino;59;1,59459459459459e-01
110009;2010;Importado;Masculino;44;8,30188679245283e-01
110009;2010;Importado;Feminino;9;1,69811320754717e-01
110009;2010;NA;Masculino;1;1,00000000000000e+00
110009;2011;Autóctone;Masculino;1;5,00000000000000e-01
110009;2011;Autóctone;Feminino;1;5,00000000000000e-01
110009;2011;Importado;Masculino;39;8,29787234042553e-01
110009;2011;Importado;Feminino;8;1,70212765957447e-01
110009;2012;Autóctone;Masculino;8;1,00000000000000e+00
110009;2012;Importado;Masculino;63;8,40000000000000e-01
110009;2012;Importado;Feminino;12;1,60000000000000e-01
110009;2013;Importado;Masculino;24;9,23076923076923e-01
110009;2013;Importado;Feminino;2;7,69230769230769e-02
110009;2013;NA;Masculino;1;1,00000000000000e+00
110009;2014;Autóctone;Feminino;1;1,00000000000000e+00
110009;2014;Importado;Masculino;14;1,00000000000000e+00
110009;2015;Autóctone;Masculino;2;1,00000000000000e+00
110009;2015;Importado;Masculino;14;9,33333333333333e-01
110009;2015;Importado;Feminino;1;6,66666666666667e-02
110009;2016;Importado;Masculino;7;1,00000000000000e+00
110009;2017;Importado;Masculino;7;5,38461538461538e-01
110009;2017;Importado;Feminino;6;4,61538461538462e-01
110009;2018;Importado;Masculino;13;8,66666666666667e-01
110009;2018;Importado;Feminino;2;1,33333333333333e-01
110009;2019;Autóctone;Masculino;188;7,96610169491525e-01
110009;2019;Autóctone;Feminino;48;2,03389830508475e-01
110009;2019;Importado;Masculino;13;8,66666666666667e-01
110009;2019;Importado;Feminino;2;1,33333333333333e-01
110009;2020;Autóctone;Masculino;131;7,84431137724551e-01
110009;2020;Autóctone;Feminino;36;2,15568862275449e-01
110009;2020;Importado;Masculino;2;6,66666666666667e-01
110009;2020;Importado;Feminino;1;3,33333333333333e-01
110010;2007;Autóctone;Masculino;1770;5,87649402390438e-01
110010;2007;Autóctone;Feminino;1242;4,12350597609562e-01
110010;2007;Importado;Masculino;271;6,51442307692308e-01
110010;2007;Importado;Feminino;145;3,48557692307692e-01
110010;2007;NA;Masculino;19;6,55172413793103e-01
110010;2007;NA;Feminino;10;3,44827586206897e-01
110010;2008;Autóctone;Masculino;748;6,19718309859155e-01
110010;2008;Autóctone;Feminino;459;3,80281690140845e-01
110010;2008;Importado;Masculino;136;6,57004830917874e-01
110010;2008;Importado;Feminino;71;3,42995169082126e-01
110010;2008;NA;Masculino;14;7,00000000000000e-01
110010;2008;NA;Feminino;6;3,00000000000000e-01
110010;2009;Autóctone;Masculino;441;6,26420454545455e-01
110010;2009;Autóctone;Feminino;263;3,73579545454545e-01
110010;2009;Importado;Masculino;85;6,39097744360902e-01
110010;2009;Importado;Feminino;48;3,60902255639098e-01
110010;2009;NA;Masculino;5;5,55555555555556e-01
110010;2009;NA;Feminino;4;4,44444444444444e-01
110010;2010;Autóctone;Masculino;933;5,52725118483412e-01
110010;2010;Autóctone;Feminino;755;4,47274881516588e-01
110010;2010;Importado;Masculino;175;6,36363636363636e-01
110010;2010;Importado;Feminino;100;3,63636363636364e-01
110010;2010;NA;Masculino;18;5,80645161290323e-01
110010;2010;NA;Feminino;13;4,19354838709677e-01
110010;2011;Autóctone;Masculino;474;5,45454545454545e-01
110010;2011;Autóctone;Feminino;395;4,54545454545455e-01
110010;2011;Importado;Masculino;120;5,66037735849057e-01
110010;2011;Importado;Feminino;92;4,33962264150943e-01
110010;2011;NA;Masculino;13;6,84210526315789e-01
110010;2011;NA;Feminino;6;3,15789473684211e-01
110010;2012;Autóctone;Masculino;364;5,60862865947612e-01
110010;2012;Autóctone;Feminino;285;4,39137134052388e-01
110010;2012;Importado;Masculino;82;6,25954198473282e-01
110010;2012;Importado;Feminino;49;3,74045801526718e-01
110010;2012;NA;Masculino;15;5,55555555555556e-01
110010;2012;NA;Feminino;12;4,44444444444444e-01
110010;2013;Autóctone;Masculino;319;5,89648798521257e-01
110010;2013;Autóctone;Feminino;222;4,10351201478743e-01
110010;2013;Importado;Masculino;55;6,54761904761905e-01
110010;2013;Importado;Feminino;29;3,45238095238095e-01
110010;2013;NA;Masculino;14;6,36363636363636e-01
110010;2013;NA;Feminino;8;3,63636363636364e-01
110010;2014;Autóctone;Masculino;202;5,54945054945055e-01
110010;2014;Autóctone;Feminino;162;4,45054945054945e-01
110010;2014;Importado;Masculino;27;6,75000000000000e-01
110010;2014;Importado;Feminino;13;3,25000000000000e-01
110010;2014;NA;Masculino;6;6,66666666666667e-01
110010;2014;NA;Feminino;3;3,33333333333333e-01
110010;2015;Autóctone;Masculino;320;5,61403508771930e-01
110010;2015;Autóctone;Feminino;250;4,38596491228070e-01
110010;2015;Importado;Masculino;45;5,84415584415584e-01
110010;2015;Importado;Feminino;32;4,15584415584416e-01
110010;2015;NA;Masculino;5;5,55555555555556e-01
110010;2015;NA;Feminino;4;4,44444444444444e-01
110010;2016;Autóctone;Masculino;211;6,20588235294118e-01
110010;2016;Autóctone;Feminino;129;3,79411764705882e-01
110010;2016;Importado;Masculino;63;6,84782608695652e-01
110010;2016;Importado;Feminino;29;3,15217391304348e-01
110010;2016;NA;Masculino;6;7,50000000000000e-01
110010;2016;NA;Feminino;2;2,50000000000000e-01
110010;2017;Autóctone;Masculino;190;5,32212885154062e-01
110010;2017;Autóctone;Feminino;167;4,67787114845938e-01
110010;2017;Importado;Masculino;15;6,52173913043478e-01
110010;2017;Importado;Feminino;8;3,47826086956522e-01
110010;2017;NA;Masculino;7;7,00000000000000e-01
110010;2017;NA;Feminino;3;3,00000000000000e-01
110010;2018;Autóctone;Masculino;199;5,75144508670520e-01
110010;2018;Autóctone;Feminino;147;4,24855491329480e-01
110010;2018;Importado;Masculino;77;5,53956834532374e-01
110010;2018;Importado;Feminino;62;4,46043165467626e-01
110010;2018;NA;Masculino;6;7,50000000000000e-01
110010;2018;NA;Feminino;2;2,50000000000000e-01
110010;2019;Autóctone;Masculino;314;5,75091575091575e-01
110010;2019;Autóctone;Feminino;232;4,24908424908425e-01
110010;2019;Importado;Masculino;55;6,54761904761905e-01
110010;2019;Importado;Feminino;29;3,45238095238095e-01
110010;2019;NA;Masculino;5;1,00000000000000e+00
110010;2020;Autóctone;Masculino;190;6,10932475884244e-01
110010;2020;Autóctone;Feminino;121;3,89067524115756e-01
