mun;ano;group;tipo_pl;n;p
110001;2016;NA;Vivax;4;1,00000000000000e+00
110001;2017;Autóctone;Vivax;1;1,00000000000000e+00
110001;2017;Importado;Vivax;6;1,00000000000000e+00
110001;2017;NA;Vivax;4;1,00000000000000e+00
110001;2018;Importado;Vivax;1;1,00000000000000e+00
110001;2019;Importado;Vivax;2;1,00000000000000e+00
110001;2020;Importado;Vivax;5;1,00000000000000e+00
110002;2007;Autóctone;Falciparum;418;1,93339500462535e-01
110002;2007;Autóctone;Falciparum+Gametócitos de F.;53;2,45143385753932e-02
110002;2007;Autóctone;Vivax;1645;7,60869565217391e-01
110002;2007;Autóctone;Falciparum+Vivax;9;4,16281221091582e-03
110002;2007;Autóctone;Vivax+Gametócitos de F.;9;4,16281221091582e-03
110002;2007;Autóctone;Gametócitos de F.;28;1,29509713228492e-02
110002;2007;Importado;Falciparum;1057;2,91988950276243e-01
110002;2007;Importado;Falciparum+Gametócitos de F.;106;2,92817679558011e-02
110002;2007;Importado;Vivax;2371;6,54972375690608e-01
110002;2007;Importado;Falciparum+Vivax;35;9,66850828729282e-03
110002;2007;Importado;Vivax+Gametócitos de F.;16;4,41988950276243e-03
110002;2007;Importado;Gametócitos de F.;34;9,39226519337017e-03
110002;2007;Importado;Malariae;1;2,76243093922652e-04
110002;2007;NA;Vivax;2;1,00000000000000e+00
110002;2008;Autóctone;Falciparum;97;7,82258064516129e-02
110002;2008;Autóctone;Falciparum+Gametócitos de F.;9;7,25806451612903e-03
110002;2008;Autóctone;Vivax;1125;9,07258064516129e-01
110002;2008;Autóctone;Falciparum+Vivax;4;3,22580645161290e-03
110002;2008;Autóctone;Vivax+Gametócitos de F.;4;3,22580645161290e-03
110002;2008;Autóctone;Gametócitos de F.;1;8,06451612903226e-04
110002;2008;Importado;Falciparum;528;2,28176318063959e-01
110002;2008;Importado;Falciparum+Gametócitos de F.;35;1,51253241140882e-02
110002;2008;Importado;Vivax;1716;7,41573033707865e-01
110002;2008;Importado;Falciparum+Vivax;17;7,34658599827139e-03
110002;2008;Importado;Vivax+Gametócitos de F.;10;4,32152117545376e-03
110002;2008;Importado;Gametócitos de F.;8;3,45721694036301e-03
110002;2008;NA;Falciparum;2;6,66666666666667e-01
110002;2008;NA;Vivax;1;3,33333333333333e-01
110002;2009;Autóctone;Falciparum;138;1,30681818181818e-01
110002;2009;Autóctone;Falciparum+Gametócitos de F.;14;1,32575757575758e-02
110002;2009;Autóctone;Vivax;899;8,51325757575758e-01
110002;2009;Autóctone;Falciparum+Vivax;2;1,89393939393939e-03
110002;2009;Autóctone;Vivax+Gametócitos de F.;2;1,89393939393939e-03
110002;2009;Autóctone;Gametócitos de F.;1;9,46969696969697e-04
110002;2009;Importado;Falciparum;557;3,08245711123409e-01
110002;2009;Importado;Falciparum+Gametócitos de F.;26;1,43884892086331e-02
110002;2009;Importado;Vivax;1179;6,52462645268401e-01
110002;2009;Importado;Falciparum+Vivax;28;1,54952960708356e-02
110002;2009;Importado;Vivax+Gametócitos de F.;9;4,98063087991146e-03
110002;2009;Importado;Gametócitos de F.;8;4,42722744881018e-03
110002;2009;NA;Falciparum;1;3,33333333333333e-01
110002;2009;NA;Falciparum+Gametócitos de F.;1;3,33333333333333e-01
110002;2009;NA;Gametócitos de F.;1;3,33333333333333e-01
110002;2010;Autóctone;Falciparum;178;1,39937106918239e-01
110002;2010;Autóctone;Falciparum+Gametócitos de F.;6;4,71698113207547e-03
110002;2010;Autóctone;Vivax;1071;8,41981132075472e-01
110002;2010;Autóctone;Falciparum+Vivax;13;1,02201257861635e-02
110002;2010;Autóctone;Vivax+Gametócitos de F.;1;7,86163522012579e-04
110002;2010;Autóctone;Gametócitos de F.;3;2,35849056603774e-03
110002;2010;Importado;Falciparum;383;2,24897240164416e-01
110002;2010;Importado;Falciparum+Gametócitos de F.;33;1,93775689958896e-02
110002;2010;Importado;Vivax;1239;7,27539635936583e-01
110002;2010;Importado;Falciparum+Vivax;26;1,52671755725191e-02
110002;2010;Importado;Vivax+Gametócitos de F.;10;5,87199060481503e-03
110002;2010;Importado;Gametócitos de F.;12;7,04638872577804e-03
110002;2010;NA;Falciparum;1;2,50000000000000e-01
110002;2010;NA;Falciparum+Gametócitos de F.;1;2,50000000000000e-01
110002;2010;NA;Vivax;2;5,00000000000000e-01
110002;2011;Autóctone;Falciparum;70;1,41129032258065e-01
110002;2011;Autóctone;Falciparum+Gametócitos de F.;3;6,04838709677419e-03
110002;2011;Autóctone;Vivax;413;8,32661290322581e-01
110002;2011;Autóctone;Falciparum+Vivax;7;1,41129032258065e-02
110002;2011;Autóctone;Vivax+Gametócitos de F.;2;4,03225806451613e-03
110002;2011;Autóctone;Gametócitos de F.;1;2,01612903225806e-03
110002;2011;Importado;Falciparum;238;1,84926184926185e-01
110002;2011;Importado;Falciparum+Gametócitos de F.;17;1,32090132090132e-02
110002;2011;Importado;Vivax;1008;7,83216783216783e-01
110002;2011;Importado;Falciparum+Vivax;17;1,32090132090132e-02
110002;2011;Importado;Vivax+Gametócitos de F.;4;3,10800310800311e-03
110002;2011;Importado;Gametócitos de F.;3;2,33100233100233e-03
110002;2012;Autóctone;Falciparum;23;1,54362416107383e-01
110002;2012;Autóctone;Vivax;125;8,38926174496644e-01
110002;2012;Autóctone;Não Falciparum;1;6,71140939597315e-03
110002;2012;Importado;Falciparum;70;1,02941176470588e-01
110002;2012;Importado;Falciparum+Gametócitos de F.;9;1,32352941176471e-02
110002;2012;Importado;Vivax;587;8,63235294117647e-01
110002;2012;Importado;Falciparum+Vivax;12;1,76470588235294e-02
110002;2012;Importado;Vivax+Gametócitos de F.;1;1,47058823529412e-03
110002;2012;Importado;Gametócitos de F.;1;1,47058823529412e-03
110002;2012;NA;Vivax;3;1,00000000000000e+00
110002;2013;Autóctone;Falciparum;10;8,92857142857143e-02
110002;2013;Autóctone;Vivax;99;8,83928571428571e-01
110002;2013;Autóctone;Falciparum+Vivax;2;1,78571428571429e-02
110002;2013;Autóctone;Não Falciparum;1;8,92857142857143e-03
110002;2013;Importado;Falciparum;21;4,49678800856531e-02
110002;2013;Importado;Falciparum+Gametócitos de F.;1;2,14132762312634e-03
110002;2013;Importado;Vivax;438;9,37901498929336e-01
110002;2013;Importado;Falciparum+Vivax;6;1,28479657387580e-02
110002;2013;Importado;Vivax+Gametócitos de F.;1;2,14132762312634e-03
110002;2013;NA;Falciparum;2;1,11111111111111e-01
110002;2013;NA;Vivax;16;8,88888888888889e-01
110002;2014;Autóctone;Falciparum;6;7,50000000000000e-02
110002;2014;Autóctone;Falciparum+Gametócitos de F.;2;2,50000000000000e-02
110002;2014;Autóctone;Vivax;72;9,00000000000000e-01
110002;2014;Importado;Falciparum;11;4,88888888888889e-02
110002;2014;Importado;Vivax;213;9,46666666666667e-01
110002;2014;Importado;Falciparum+Vivax;1;4,44444444444444e-03
110002;2014;NA;Vivax;2;1,00000000000000e+00
110002;2015;Autóctone;Vivax;42;1,00000000000000e+00
110002;2015;Importado;Falciparum;4;2,89855072463768e-02
110002;2015;Importado;Falciparum+Gametócitos de F.;2;1,44927536231884e-02
110002;2015;Importado;Vivax;132;9,56521739130435e-01
110002;2016;Autóctone;Falciparum;2;1,70940170940171e-02
110002;2016;Autóctone;Vivax;115;9,82905982905983e-01
110002;2016;Importado;Falciparum;7;1,93905817174515e-02
110002;2016;Importado;Falciparum+Gametócitos de F.;2;5,54016620498615e-03
110002;2016;Importado;Vivax;350;9,69529085872576e-01
110002;2016;Importado;Falciparum+Vivax;1;2,77008310249307e-03
110002;2016;Importado;Vivax+Gametócitos de F.;1;2,77008310249307e-03
110002;2017;Autóctone;Falciparum;1;8,54700854700855e-03
110002;2017;Autóctone;Vivax;115;9,82905982905983e-01
110002;2017;Autóctone;Gametócitos de F.;1;8,54700854700855e-03
110002;2017;Importado;Falciparum;10;1,98019801980198e-02
110002;2017;Importado;Vivax;492;9,74257425742574e-01
110002;2017;Importado;Falciparum+Vivax;1;1,98019801980198e-03
110002;2017;Importado;Falciparum+Malariae;2;3,96039603960396e-03
110002;2018;Autóctone;Falciparum;7;7,88288288288288e-03
110002;2018;Autóctone;Vivax;878;9,88738738738739e-01
110002;2018;Autóctone;Falciparum+Vivax;1;1,12612612612613e-03
110002;2018;Autóctone;Falciparum+Malariae;2;2,25225225225225e-03
110002;2018;Importado;Falciparum;36;5,82524271844660e-02
110002;2018;Importado;Falciparum+Gametócitos de F.;9;1,45631067961165e-02
110002;2018;Importado;Vivax;571;9,23948220064725e-01
110002;2018;Importado;Falciparum+Vivax;1;1,61812297734628e-03
110002;2018;Importado;Gametócitos de F.;1;1,61812297734628e-03
110002;2018;NA;Vivax;1;1,00000000000000e+00
110002;2019;Autóctone;Falciparum;11;2,79898218829517e-02
110002;2019;Autóctone;Falciparum+Gametócitos de F.;1;2,54452926208651e-03
110002;2019;Autóctone;Vivax;380;9,66921119592875e-01
110002;2019;Autóctone;Gametócitos de F.;1;2,54452926208651e-03
110002;2019;Importado;Falciparum;48;1,06666666666667e-01
110002;2019;Importado;Falciparum+Gametócitos de F.;11;2,44444444444444e-02
110002;2019;Importado;Vivax;386;8,57777777777778e-01
110002;2019;Importado;Falciparum+Vivax;1;2,22222222222222e-03
110002;2019;Importado;Vivax+Gametócitos de F.;1;2,22222222222222e-03
110002;2019;Importado;Gametócitos de F.;2;4,44444444444444e-03
110002;2019;Importado;Falciparum+Malariae;1;2,22222222222222e-03
110002;2020;Autóctone;Falciparum;11;7,69230769230769e-02
110002;2020;Autóctone;Falciparum+Gametócitos de F.;2;1,39860139860140e-02
110002;2020;Autóctone;Vivax;130;9,09090909090909e-01
110002;2020;Importado;Falciparum;2;2,06185567010309e-02
110002;2020;Importado;Falciparum+Gametócitos de F.;2;2,06185567010309e-02
110002;2020;Importado;Vivax;92;9,48453608247423e-01
110002;2020;Importado;Vivax+Gametócitos de F.;1;1,03092783505155e-02
110003;2007;Autóctone;Vivax;5;1,00000000000000e+00
110003;2007;Importado;Falciparum;1;6,25000000000000e-02
110003;2007;Importado;Falciparum+Gametócitos de F.;3;1,87500000000000e-01
110003;2007;Importado;Vivax;12;7,50000000000000e-01
110003;2008;Importado;Falciparum;1;1,66666666666667e-01
110003;2008;Importado;Vivax;4;6,66666666666667e-01
110003;2008;Importado;Falciparum+Vivax;1;1,66666666666667e-01
110003;2008;NA;Vivax;1;1,00000000000000e+00
110003;2009;Importado;Falciparum;1;1,11111111111111e-01
110003;2009;Importado;Vivax;8;8,88888888888889e-01
110003;2010;Autóctone;Vivax;2;1,00000000000000e+00
110003;2010;Importado;Vivax;2;1,00000000000000e+00
110003;2011;Importado;Vivax;3;1,00000000000000e+00
110003;2012;Importado;Falciparum;1;5,00000000000000e-01
110003;2012;Importado;Vivax;1;5,00000000000000e-01
110003;2013;Importado;Vivax;3;1,00000000000000e+00
110003;2014;Importado;Vivax;2;1,00000000000000e+00
110003;2016;Autóctone;Vivax;4;1,00000000000000e+00
110003;2016;Importado;Vivax;1;1,00000000000000e+00
110003;2017;Autóctone;Vivax;1;1,00000000000000e+00
110003;2018;Importado;Vivax;6;1,00000000000000e+00
110003;2019;Importado;Falciparum;2;2,50000000000000e-01
110003;2019;Importado;Vivax;6;7,50000000000000e-01
110003;2020;Importado;Vivax;1;1,00000000000000e+00
110004;2007;Autóctone;Falciparum;2;7,14285714285714e-02
110004;2007;Autóctone;Vivax;24;8,57142857142857e-01
110004;2007;Autóctone;Falciparum+Vivax;2;7,14285714285714e-02
110004;2007;Importado;Falciparum;82;1,85941043083900e-01
110004;2007;Importado;Falciparum+Gametócitos de F.;7;1,58730158730159e-02
110004;2007;Importado;Vivax;319;7,23356009070295e-01
110004;2007;Importado;Falciparum+Vivax;26;5,89569160997732e-02
110004;2007;Importado;Gametócitos de F.;7;1,58730158730159e-02
110004;2007;NA;Falciparum;1;1,00000000000000e+00
110004;2008;Autóctone;Vivax;10;1,00000000000000e+00
110004;2008;Importado;Falciparum;40;4,59242250287026e-02
110004;2008;Importado;Falciparum+Gametócitos de F.;3;3,44431687715270e-03
110004;2008;Importado;Vivax;815;9,35706084959816e-01
110004;2008;Importado;Falciparum+Vivax;12;1,37772675086108e-02
110004;2008;Importado;Gametócitos de F.;1;1,14810562571757e-03
110004;2009;Autóctone;Vivax;6;1,00000000000000e+00
110004;2009;Importado;Falciparum;54;5,84415584415584e-02
110004;2009;Importado;Falciparum+Gametócitos de F.;6;6,49350649350649e-03
110004;2009;Importado;Vivax;837;9,05844155844156e-01
110004;2009;Importado;Falciparum+Vivax;26;2,81385281385281e-02
110004;2009;Importado;Vivax+Gametócitos de F.;1;1,08225108225108e-03
110004;2010;Autóctone;Vivax;3;1,00000000000000e+00
110004;2010;Importado;Falciparum;238;3,17333333333333e-01
110004;2010;Importado;Falciparum+Gametócitos de F.;40;5,33333333333333e-02
110004;2010;Importado;Vivax;435;5,80000000000000e-01
110004;2010;Importado;Falciparum+Vivax;24;3,20000000000000e-02
110004;2010;Importado;Vivax+Gametócitos de F.;11;1,46666666666667e-02
110004;2010;Importado;Gametócitos de F.;2;2,66666666666667e-03
110004;2010;NA;Falciparum;1;3,33333333333333e-01
110004;2010;NA;Vivax;2;6,66666666666667e-01
110004;2011;Autóctone;Vivax;4;1,00000000000000e+00
110004;2011;Importado;Falciparum;10;7,09219858156028e-02
110004;2011;Importado;Falciparum+Gametócitos de F.;3;2,12765957446809e-02
110004;2011;Importado;Vivax;127;9,00709219858156e-01
110004;2011;Importado;Falciparum+Vivax;1;7,09219858156028e-03
110004;2011;NA;Vivax;5;1,00000000000000e+00
110004;2012;Autóctone;Vivax;5;1,00000000000000e+00
110004;2012;Importado;Falciparum;3;4,41176470588235e-02
110004;2012;Importado;Falciparum+Gametócitos de F.;2;2,94117647058824e-02
110004;2012;Importado;Vivax;62;9,11764705882353e-01
110004;2012;Importado;Vivax+Gametócitos de F.;1;1,47058823529412e-02
110004;2012;NA;Vivax;1;1,00000000000000e+00
110004;2013;Importado;Falciparum;3;4,91803278688525e-02
110004;2013;Importado;Vivax;58;9,50819672131147e-01
110004;2013;NA;Falciparum;1;5,00000000000000e-01
110004;2013;NA;Vivax;1;5,00000000000000e-01
110004;2014;Autóctone;Vivax;3;1,00000000000000e+00
110004;2014;Importado;Falciparum;2;3,27868852459016e-02
110004;2014;Importado;Vivax;58;9,50819672131147e-01
110004;2014;Importado;Falciparum+Vivax;1;1,63934426229508e-02
110004;2015;Importado;Falciparum;1;1,33333333333333e-02
110004;2015;Importado;Vivax;74;9,86666666666667e-01
110004;2016;Importado;Falciparum;1;2,56410256410256e-02
110004;2016;Importado;Falciparum+Gametócitos de F.;1;2,56410256410256e-02
110004;2016;Importado;Vivax;37;9,48717948717949e-01
110004;2017;Importado;Vivax;25;1,00000000000000e+00
110004;2017;NA;Vivax;1;1,00000000000000e+00
110004;2018;Importado;Falciparum;3;1,07142857142857e-01
110004;2018;Importado;Falciparum+Gametócitos de F.;1;3,57142857142857e-02
110004;2018;Importado;Vivax;24;8,57142857142857e-01
110004;2019;Importado;Falciparum;9;6,61764705882353e-02
110004;2019;Importado;Falciparum+Gametócitos de F.;1;7,35294117647059e-03
110004;2019;Importado;Vivax;126;9,26470588235294e-01
110004;2020;Autóctone;Vivax;2;1,00000000000000e+00
110004;2020;Importado;Vivax;84;9,88235294117647e-01
110004;2020;Importado;Vivax+Gametócitos de F.;1;1,17647058823529e-02
110005;2007;Autóctone;Falciparum;1;3,33333333333333e-01
110005;2007;Autóctone;Vivax;1;3,33333333333333e-01
110005;2007;Autóctone;Vivax+Gametócitos de F.;1;3,33333333333333e-01
110005;2007;Importado;Falciparum;28;2,50000000000000e-01
110005;2007;Importado;Falciparum+Gametócitos de F.;3;2,67857142857143e-02
110005;2007;Importado;Vivax;73;6,51785714285714e-01
110005;2007;Importado;Falciparum+Vivax;6;5,35714285714286e-02
110005;2007;Importado;Vivax+Gametócitos de F.;1;8,92857142857143e-03
110005;2007;Importado;Gametócitos de F.;1;8,92857142857143e-03
110005;2007;NA;Vivax;2;1,00000000000000e+00
110005;2008;Autóctone;Vivax;1;1,00000000000000e+00
110005;2008;Importado;Falciparum;6;1,05263157894737e-01
110005;2008;Importado;Falciparum+Gametócitos de F.;1;1,75438596491228e-02
110005;2008;Importado;Vivax;42;7,36842105263158e-01
110005;2008;Importado;Falciparum+Vivax;8;1,40350877192982e-01
110005;2008;NA;Vivax;5;1,00000000000000e+00
110005;2009;Importado;Falciparum;4;1,05263157894737e-01
110005;2009;Importado;Vivax;31;8,15789473684211e-01
110005;2009;Importado;Falciparum+Vivax;2;5,26315789473684e-02
110005;2009;Importado;Vivax+Gametócitos de F.;1;2,63157894736842e-02
110005;2009;NA;Vivax;6;1,00000000000000e+00
110005;2010;Importado;Falciparum;2;4,76190476190476e-02
110005;2010;Importado;Falciparum+Gametócitos de F.;2;4,76190476190476e-02
110005;2010;Importado;Vivax;37;8,80952380952381e-01
110005;2010;Importado;Falciparum+Vivax;1;2,38095238095238e-02
110005;2010;NA;Vivax;1;1,00000000000000e+00
110005;2011;Importado;Vivax;13;1,00000000000000e+00
110005;2011;NA;Vivax;1;1,00000000000000e+00
110005;2012;Importado;Falciparum;3;1,57894736842105e-01
110005;2012;Importado;Vivax;15;7,89473684210526e-01
110005;2012;Importado;Falciparum+Vivax;1;5,26315789473684e-02
110005;2012;NA;Vivax;1;1,00000000000000e+00
110005;2013;Autóctone;Vivax;1;1,00000000000000e+00
110005;2013;Importado;Falciparum;1;6,66666666666667e-02
110005;2013;Importado;Vivax;13;8,66666666666667e-01
110005;2013;Importado;Falciparum+Vivax;1;6,66666666666667e-02
110005;2014;Importado;Vivax;9;1,00000000000000e+00
110005;2015;Importado;Vivax;6;1,00000000000000e+00
110005;2016;Importado;Falciparum;1;3,33333333333333e-01
110005;2016;Importado;Vivax;2;6,66666666666667e-01
110005;2017;Importado;Falciparum+Gametócitos de F.;1;5,00000000000000e-01
110005;2017;Importado;Vivax;1;5,00000000000000e-01
110005;2018;Importado;Vivax;5;1,00000000000000e+00
110005;2019;Importado;Vivax;19;1,00000000000000e+00
110005;2020;Importado;Vivax;3;1,00000000000000e+00
110006;2007;Autóctone;Vivax;1;1,00000000000000e+00
110006;2007;Importado;Falciparum;7;1,62790697674419e-01
110006;2007;Importado;Falciparum+Gametócitos de F.;3;6,97674418604651e-02
110006;2007;Importado;Vivax;32;7,44186046511628e-01
110006;2007;Importado;Gametócitos de F.;1;2,32558139534884e-02
110006;2008;Importado;Falciparum;3;1,15384615384615e-01
110006;2008;Importado;Vivax;23;8,84615384615385e-01
110006;2009;Importado;Falciparum;1;6,25000000000000e-02
110006;2009;Importado;Falciparum+Gametócitos de F.;1;6,25000000000000e-02
110006;2009;Importado;Vivax;14;8,75000000000000e-01
110006;2010;Importado;Falciparum;2;8,00000000000000e-02
110006;2010;Importado;Vivax;23;9,20000000000000e-01
110006;2011;Importado;Falciparum;1;7,69230769230769e-02
110006;2011;Importado;Vivax;8;6,15384615384615e-01
110006;2011;Importado;Falciparum+Vivax;4;3,07692307692308e-01
110006;2012;Importado;Vivax;1;1,00000000000000e+00
110006;2013;Importado;Vivax;1;1,00000000000000e+00
110006;2013;NA;Vivax;1;1,00000000000000e+00
110006;2014;Importado;Falciparum;2;4,00000000000000e-01
110006;2014;Importado;Vivax;3;6,00000000000000e-01
110006;2015;Importado;Vivax;1;1,00000000000000e+00
110006;2017;Autóctone;Vivax;1;1,00000000000000e+00
110006;2017;Importado;Vivax;1;1,00000000000000e+00
110006;2017;NA;Vivax;1;1,00000000000000e+00
110006;2018;Autóctone;Vivax;1;1,00000000000000e+00
110006;2019;Importado;Vivax;4;8,00000000000000e-01
110006;2019;Importado;Vivax+Gametócitos de F.;1;2,00000000000000e-01
110006;2020;Importado;Vivax;2;1,00000000000000e+00
110007;2007;Autóctone;Vivax;1;1,00000000000000e+00
110007;2007;Importado;Falciparum;1;1,66666666666667e-01
110007;2007;Importado;Falciparum+Gametócitos de F.;1;1,66666666666667e-01
110007;2007;Importado;Vivax;4;6,66666666666667e-01
110007;2008;Importado;Vivax;7;8,75000000000000e-01
110007;2008;Importado;Falciparum+Vivax;1;1,25000000000000e-01
110007;2009;Importado;Vivax;4;1,00000000000000e+00
110007;2010;Importado;Falciparum;2;2,50000000000000e-01
110007;2010;Importado;Vivax;6;7,50000000000000e-01
110007;2011;Importado;Falciparum;1;5,00000000000000e-01
110007;2011;Importado;Vivax;1;5,00000000000000e-01
110007;2018;Autóctone;Vivax;2;1,00000000000000e+00
110007;2018;Importado;Vivax;2;1,00000000000000e+00
110007;2019;Importado;Vivax;3;1,00000000000000e+00
110007;2020;Importado;Vivax;2;1,00000000000000e+00
110008;2007;Autóctone;Falciparum;71;1,43724696356275e-01
110008;2007;Autóctone;Falciparum+Gametócitos de F.;16;3,23886639676113e-02
110008;2007;Autóctone;Vivax;404;8,17813765182186e-01
110008;2007;Autóctone;Vivax+Gametócitos de F.;1;2,02429149797571e-03
110008;2007;Autóctone;Gametócitos de F.;2;4,04858299595142e-03
110008;2007;Importado;Falciparum;10;1,29870129870130e-01
110008;2007;Importado;Falciparum+Gametócitos de F.;5;6,49350649350649e-02
110008;2007;Importado;Vivax;62;8,05194805194805e-01
110008;2007;NA;Falciparum;3;1,36363636363636e-01
110008;2007;NA;Vivax;18;8,18181818181818e-01
110008;2007;NA;Gametócitos de F.;1;4,54545454545455e-02
110008;2008;Autóctone;Falciparum;21;7,47330960854092e-02
110008;2008;Autóctone;Falciparum+Gametócitos de F.;9;3,20284697508897e-02
110008;2008;Autóctone;Vivax;249;8,86120996441281e-01
110008;2008;Autóctone;Falciparum+Vivax;1;3,55871886120996e-03
110008;2008;Autóctone;Vivax+Gametócitos de F.;1;3,55871886120996e-03
110008;2008;Importado;Falciparum;2;5,55555555555556e-02
110008;2008;Importado;Falciparum+Gametócitos de F.;1;2,77777777777778e-02
110008;2008;Importado;Vivax;32;8,88888888888889e-01
110008;2008;Importado;Vivax+Gametócitos de F.;1;2,77777777777778e-02
110008;2008;NA;Vivax;21;1,00000000000000e+00
110008;2009;Autóctone;Falciparum;5;2,22222222222222e-02
110008;2009;Autóctone;Falciparum+Gametócitos de F.;3;1,33333333333333e-02
110008;2009;Autóctone;Vivax;215;9,55555555555556e-01
110008;2009;Autóctone;Falciparum+Vivax;1;4,44444444444444e-03
110008;2009;Autóctone;Vivax+Gametócitos de F.;1;4,44444444444444e-03
110008;2009;Importado;Falciparum;1;3,12500000000000e-02
110008;2009;Importado;Vivax;31;9,68750000000000e-01
110008;2009;NA;Vivax;9;1,00000000000000e+00
110008;2010;Autóctone;Falciparum;4;9,92555831265509e-03
110008;2010;Autóctone;Vivax;398;9,87593052109181e-01
110008;2010;Autóctone;Gametócitos de F.;1;2,48138957816377e-03
110008;2010;Importado;Vivax;25;1,00000000000000e+00
110008;2010;NA;Vivax;10;1,00000000000000e+00
110008;2011;Autóctone;Vivax;184;1,00000000000000e+00
110008;2011;Importado;Falciparum;1;6,25000000000000e-02
110008;2011;Importado;Vivax;15;9,37500000000000e-01
110008;2011;NA;Vivax;9;1,00000000000000e+00
110008;2012;Autóctone;Vivax;218;1,00000000000000e+00
110008;2012;Importado;Vivax;15;1,00000000000000e+00
110008;2012;NA;Vivax;7;1,00000000000000e+00
110008;2013;Autóctone;Vivax;114;1,00000000000000e+00
110008;2013;Importado;Vivax;8;1,00000000000000e+00
110008;2013;NA;Vivax;9;1,00000000000000e+00
110008;2014;Autóctone;Vivax;29;1,00000000000000e+00
110008;2014;Importado;Vivax;10;1,00000000000000e+00
110008;2014;NA;Vivax;4;1,00000000000000e+00
110008;2015;Autóctone;Vivax;54;1,00000000000000e+00
110008;2015;Importado;Vivax;11;1,00000000000000e+00
110008;2015;NA;Vivax;3;1,00000000000000e+00
110008;2016;Autóctone;Vivax;89;1,00000000000000e+00
110008;2016;Importado;Vivax;7;1,00000000000000e+00
110008;2016;NA;Falciparum+Gametócitos de F.;1;5,00000000000000e-01
110008;2016;NA;Vivax;1;5,00000000000000e-01
110008;2017;Autóctone;Vivax;11;1,00000000000000e+00
110008;2017;Importado;Vivax;6;1,00000000000000e+00
110008;2017;NA;Vivax;9;9,00000000000000e-01
110008;2017;NA;Gametócitos de F.;1;1,00000000000000e-01
110008;2018;Autóctone;Vivax;11;1,00000000000000e+00
110008;2018;Importado;Vivax;3;1,00000000000000e+00
110008;2018;NA;Vivax;3;1,00000000000000e+00
110008;2019;Autóctone;Vivax;112;1,00000000000000e+00
110008;2019;Importado;Vivax;9;1,00000000000000e+00
110008;2019;NA;Vivax;6;1,00000000000000e+00
110008;2020;Autóctone;Vivax;159;1,00000000000000e+00
110008;2020;Importado;Vivax;5;1,00000000000000e+00
110008;2020;NA;Vivax;3;1,00000000000000e+00
110009;2007;Autóctone;Falciparum;2;8,33333333333333e-02
110009;2007;Autóctone;Vivax;19;7,91666666666667e-01
